Label (Grouping),['Total', 'Less than $10000', '$10000 to $14999', '$15000 to $24999', '$25000 to $34999', '$35000 to $49999', '$50000 to $74999', '$75000 to $99999', '$100000 to $149999', '$150000 to $199999', '$200000 or more', 'Median income (dollars)', 'Mean income (dollars)', 'PERCENT ALLOCATED', 'Household income in the past 12 months', 'Family income in the past 12 months', 'Nonfamily income in the past 12 months']
10007 Married-couple families Margin of Error,['±471', '±1.5', '±2.2', '±2.2', '±2.2', '±2.2', '±4.2', '±4.7', '±7.0', '±5.4', '±11.5', '***', 'N', '', '(X)', '(X)', '(X)']
10007 Nonfamily households Estimate,['1457', '5.2%', '3.5%', '0.0%', '4.9%', '3.1%', '0.5%', '6.5%', '4.5%', '31.8%', '40.0%', '176892', '262977', '', '(X)', '(X)', '32.4%']
10007 Nonfamily households Margin of Error,['±308', '±4.0', '±4.2', '±2.5', '±5.2', '±3.0', '±0.7', '±5.4', '±5.0', '±14.7', '±14.3', '±29658', '±63267', '', '(X)', '(X)', '(X)']
10009 Households Estimate,['29407', '12.4%', '7.5%', '6.5%', '5.0%', '7.3%', '10.1%', '10.1%', '13.7%', '7.9%', '19.6%', '77551', '122290', '', '26.6%', '(X)', '(X)']
10009 Households Margin of Error,['±1191', '±2.2', '±1.4', '±1.2', '±1.0', '±1.8', '±2.0', '±2.0', '±2.2', '±2.0', '±2.6', '±8516', '±9636', '', '(X)', '(X)', '(X)']
10009 Families Estimate,['10555', '8.2%', '5.5%', '7.4%', '5.7%', '9.6%', '8.0%', '4.1%', '10.4%', '11.0%', '29.9%', '110010', '165376', '', '(X)', '30.8%', '(X)']
10009 Families Margin of Error,['±1101', '±3.1', '±3.1', '±1.7', '±1.3', '±3.0', '±2.9', '±1.8', '±3.5', '±3.9', '±4.8', '±32737', '±21616', '', '(X)', '(X)', '(X)']
10009 Married-couple families Estimate,['6300', '2.5%', '5.3%', '5.0%', '3.5%', '5.7%', '3.8%', '4.6%', '12.7%', '12.5%', '44.6%', '176044', 'N', '', '(X)', '(X)', '(X)']
10009 Married-couple families Margin of Error,['±749', '±1.6', '±4.7', '±2.1', '±1.2', '±2.7', '±2.3', '±2.9', '±5.7', '±5.2', '±7.7', '±27969', 'N', '', '(X)', '(X)', '(X)']
10009 Nonfamily households Estimate,['18852', '15.0%', '9.2%', '6.0%', '4.9%', '5.2%', '11.7%', '13.2%', '15.6%', '7.3%', '11.9%', '68564', '93822', '', '(X)', '(X)', '24.1%']
10009 Nonfamily households Margin of Error,['±1253', '±2.9', '±2.3', '±1.7', '±1.4', '±1.6', '±2.6', '±3.1', '±3.1', '±2.2', '±2.9', '±10704', '±7944', '', '(X)', '(X)', '(X)']
10010 Households Estimate,['16207', '4.4%', '4.2%', '3.7%', '5.6%', '7.3%', '5.3%', '8.6%', '15.6%', '12.3%', '32.9%', '131635', '217670', '', '34.1%', '(X)', '(X)']
10010 Households Margin of Error,['±1356', '±2.0', '±2.8', '±1.6', '±2.9', '±2.9', '±1.9', '±2.6', '±3.4', '±4.3', '±3.1', '±18605', '±20488', '', '(X)', '(X)', '(X)']
10010 Families Estimate,['6494', '0.5%', '3.9%', '3.1%', '2.3%', '3.3%', '3.5%', '7.6%', '10.9%', '14.4%', '50.5%', '207683', '315476', '', '(X)', '35.7%', '(X)']
10010 Families Margin of Error,['±894', '±0.7', '±4.8', '±2.4', '±2.2', '±2.0', '±2.3', '±4.2', '±4.5', '±8.5', '±7.6', '±31988', '±41846', '', '(X)', '(X)', '(X)']
10010 Married-couple families Estimate,['5252', '0.6%', '0.0%', '3.6%', '1.5%', '3.0%', '1.3%', '7.7%', '9.6%', '15.9%', '56.9%', '241176', 'N', '', '(X)', '(X)', '(X)']
10010 Married-couple families Margin of Error,['±776', '±0.9', '±0.7', '±2.9', '±1.4', '±2.4', '±1.1', '±4.4', '±4.8', '±10.0', '±8.5', '±43897', 'N', '', '(X)', '(X)', '(X)']
10010 Nonfamily households Estimate,['9713', '7.1%', '4.4%', '4.1%', '7.8%', '9.9%', '7.3%', '8.6%', '18.8%', '11.0%', '21.1%', '100658', '151672', '', '(X)', '(X)', '32.9%']
10010 Nonfamily households Margin of Error,['±894', '±3.4', '±3.1', '±2.3', '±4.5', '±4.5', '±3.0', '±3.1', '±4.7', '±3.7', '±3.8', '±8566', '±21717', '', '(X)', '(X)', '(X)']
10011 Households Estimate,['29222', '5.2%', '3.7%', '4.7%', '3.9%', '5.9%', '7.8%', '7.9%', '14.0%', '12.1%', '34.9%', '139343', '220009', '', '28.2%', '(X)', '(X)']
10011 Households Margin of Error,['±1342', '±1.3', '±1.2', '±1.2', '±1.5', '±1.8', '±1.8', '±1.8', '±2.2', '±2.3', '±2.9', '±14488', '±14477', '', '(X)', '(X)', '(X)']
10011 Families Estimate,['8799', '0.2%', '3.5%', '2.9%', '1.9%', '2.0%', '2.5%', '7.5%', '12.1%', '12.9%', '54.4%', '223464', '347593', '', '(X)', '35.4%', '(X)']
10011 Families Margin of Error,['±995', '±0.3', '±2.2', '±2.3', '±1.1', '±1.5', '±1.3', '±2.5', '±3.3', '±4.7', '±5.5', '±45248', '±33196', '', '(X)', '(X)', '(X)']
10011 Married-couple families Estimate,['7114', '0.0%', '0.9%', '2.3%', '2.2%', '0.9%', '1.2%', '7.0%', '10.1%', '13.4%', '62.0%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10011 Married-couple families Margin of Error,['±949', '±0.5', '±1.4', '±2.6', '±1.4', '±1.1', '±0.9', '±2.8', '±3.3', '±5.7', '±5.7', '***', 'N', '', '(X)', '(X)', '(X)']
10011 Nonfamily households Estimate,['20423', '7.3%', '3.8%', '5.4%', '4.8%', '7.5%', '10.0%', '8.1%', '15.6%', '11.9%', '25.6%', '108881', '161429', '', '(X)', '(X)', '24.7%']
10011 Nonfamily households Margin of Error,['±1413', '±1.8', '±1.5', '±1.5', '±2.1', '±2.5', '±2.5', '±2.3', '±2.8', '±2.5', '±3.2', '±6027', '±13136', '', '(X)', '(X)', '(X)']
10012 Households Estimate,['11964', '8.7%', '1.5%', '4.6%', '3.5%', '4.6%', '13.2%', '6.5%', '18.5%', '9.7%', '29.3%', '117581', '194972', '', '33.1%', '(X)', '(X)']
10012 Households Margin of Error,['±857', '±3.5', '±0.7', '±1.9', '±1.5', '±1.8', '±3.6', '±1.9', '±4.0', '±2.4', '±3.5', '±10760', '±18773', '', '(X)', '(X)', '(X)']
10012 Families Estimate,['3785', '1.5%', '1.8%', '4.3%', '4.4%', '3.4%', '10.1%', '3.0%', '17.0%', '12.5%', '42.1%', '169583', '263200', '', '(X)', '37.2%', '(X)']
10012 Families Margin of Error,['±498', '±1.4', '±1.6', '±3.0', '±2.9', '±3.0', '±6.1', '±1.7', '±9.2', '±4.8', '±7.1', '±27015', '±39281', '', '(X)', '(X)', '(X)']
10012 Married-couple families Estimate,['2993', '0.8%', '1.7%', '4.2%', '1.7%', '2.3%', '7.2%', '3.7%', '17.4%', '12.0%', '48.8%', '195775', 'N', '', '(X)', '(X)', '(X)']
10012 Married-couple families Margin of Error,['±423', '±1.3', '±1.8', '±3.4', '±1.1', '±2.8', '±6.2', '±2.1', '±10.0', '±5.0', '±8.2', '±40437', 'N', '', '(X)', '(X)', '(X)']
10012 Nonfamily households Estimate,['8179', '12.2%', '1.3%', '4.7%', '3.5%', '4.9%', '14.9%', '8.2%', '19.1%', '7.8%', '23.5%', '100700', '161959', '', '(X)', '(X)', '30.9%']
10012 Nonfamily households Margin of Error,['±747', '±4.9', '±0.7', '±2.0', '±1.8', '±2.3', '±4.6', '±2.8', '±4.4', '±2.4', '±4.4', '±17587', '±23410', '', '(X)', '(X)', '(X)']
10013 Households Estimate,['12334', '3.8%', '5.2%', '3.7%', '3.7%', '4.4%', '10.3%', '7.5%', '14.1%', '10.4%', '36.9%', '137572', '335135', '', '36.0%', '(X)', '(X)']
10013 Households Margin of Error,['±1182', '±1.5', '±1.7', '±1.3', '±1.5', '±1.6', '±3.5', '±2.1', '±2.8', '±3.0', '±5.5', '±21050', '±67735', '', '(X)', '(X)', '(X)']
10013 Families Estimate,['6811', '2.0%', '3.1%', '3.1%', '4.3%', '4.1%', '12.0%', '6.3%', '9.8%', '7.6%', '47.7%', '183029', '454343', '', '(X)', '36.7%', '(X)']
10013 Families Margin of Error,['±865', '±1.5', '±2.0', '±1.8', '±2.3', '±2.2', '±6.1', '±2.3', '±2.7', '±2.9', '±8.4', '±66151', '±116820', '', '(X)', '(X)', '(X)']
10013 Married-couple families Estimate,['5602', '0.6%', '1.8%', '3.2%', '3.3%', '3.4%', '11.1%', '3.2%', '8.9%', '7.1%', '57.3%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10013 Married-couple families Margin of Error,['±865', '±0.6', '±1.7', '±2.0', '±2.0', '±2.2', '±7.2', '±1.7', '±3.2', '±3.5', '±9.6', '***', 'N', '', '(X)', '(X)', '(X)']
10013 Nonfamily households Estimate,['5523', '6.2%', '7.8%', '4.6%', '3.0%', '4.7%', '9.1%', '9.6%', '18.2%', '13.5%', '23.3%', '109132', '186658', '', '(X)', '(X)', '33.8%']
10013 Nonfamily households Margin of Error,['±648', '±2.6', '±3.2', '±2.3', '±1.7', '±1.8', '±2.9', '±4.2', '±4.5', '±6.5', '±5.4', '±9105', '±37600', '', '(X)', '(X)', '(X)']
10014 Households Estimate,['17685', '5.2%', '1.8%', '3.3%', '2.8%', '5.4%', '7.6%', '10.1%', '16.9%', '10.4%', '36.4%', '136559', '227995', '', '29.6%', '(X)', '(X)']
10014 Households Margin of Error,['±890', '±1.7', '±0.8', '±1.0', '±1.1', '±1.5', '±1.9', '±1.8', '±2.6', '±2.6', '±2.7', '±13983', '±16543', '', '(X)', '(X)', '(X)']
10014 Families Estimate,['5015', '0.5%', '1.4%', '0.3%', '1.2%', '2.6%', '8.0%', '6.1%', '16.4%', '6.0%', '57.5%', '250000+', '396621', '', '(X)', '35.5%', '(X)']
10014 Families Margin of Error,['±521', '±0.7', '±1.6', '±0.5', '±1.2', '±1.4', '±4.0', '±2.8', '±4.4', '±2.3', '±5.3', '***', '±49725', '', '(X)', '(X)', '(X)']
10014 Married-couple families Estimate,['4076', '0.0%', '0.7%', '0.4%', '1.2%', '1.6%', '8.4%', '3.3%', '14.7%', '6.9%', '62.8%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10014 Married-couple families Margin of Error,['±504', '±0.9', '±0.9', '±0.7', '±1.4', '±1.4', '±4.6', '±1.9', '±5.1', '±2.7', '±5.9', '***', 'N', '', '(X)', '(X)', '(X)']
10014 Nonfamily households Estimate,['12670', '7.3%', '2.0%', '4.6%', '3.4%', '6.5%', '7.4%', '11.9%', '17.4%', '12.0%', '27.7%', '112217', '159617', '', '(X)', '(X)', '27.0%']
10014 Nonfamily households Margin of Error,['±924', '±2.4', '±0.9', '±1.4', '±1.5', '±2.0', '±2.2', '±2.3', '±3.4', '±3.5', '±3.3', '±6966', '±11396', '', '(X)', '(X)', '(X)']
10016 Households Estimate,['30115', '5.4%', '2.3%', '4.7%', '3.9%', '3.6%', '6.9%', '10.2%', '16.3%', '13.2%', '33.4%', '136431', '198234', '', '28.0%', '(X)', '(X)']
10016 Households Margin of Error,['±1450', '±1.5', '±0.8', '±2.2', '±1.1', '±1.1', '±1.5', '±2.0', '±2.3', '±1.8', '±3.0', '±12756', '±13021', '', '(X)', '(X)', '(X)']
10016 Families Estimate,['9008', '2.3%', '0.7%', '4.8%', '1.9%', '2.7%', '1.3%', '5.2%', '11.3%', '13.8%', '56.0%', '220090', '310939', '', '(X)', '31.9%', '(X)']
10016 Families Margin of Error,['±953', '±1.8', '±0.9', '±5.1', '±1.4', '±2.0', '±0.8', '±1.7', '±3.1', '±3.7', '±5.4', '±17005', '±31159', '', '(X)', '(X)', '(X)']
10016 Married-couple families Estimate,['7301', '2.0%', '0.0%', '1.7%', '1.1%', '3.2%', '1.5%', '4.7%', '9.6%', '14.0%', '62.2%', '230373', 'N', '', '(X)', '(X)', '(X)']
10016 Married-couple families Margin of Error,['±778', '±1.8', '±0.1', '±1.4', '±1.0', '±2.6', '±0.9', '±1.4', '±3.2', '±3.6', '±5.5', '±12715', 'N', '', '(X)', '(X)', '(X)']
10016 Nonfamily households Estimate,['21107', '6.7%', '3.1%', '4.6%', '5.0%', '4.1%', '9.2%', '12.8%', '18.5%', '12.6%', '23.3%', '109311', '147721', '', '(X)', '(X)', '26.2%']
10016 Nonfamily households Margin of Error,['±1250', '±2.0', '±1.1', '±2.3', '±1.7', '±1.5', '±2.1', '±2.6', '±3.0', '±2.0', '±3.1', '±8316', '±9137', '', '(X)', '(X)', '(X)']
10017 Households Estimate,['9471', '4.7%', '1.3%', '1.9%', '8.9%', '2.7%', '10.1%', '8.4%', '17.4%', '13.8%', '31.0%', '136112', '195183', '', '22.9%', '(X)', '(X)']
10017 Households Margin of Error,['±759', '±2.6', '±1.5', '±1.6', '±4.7', '±1.4', '±3.3', '±2.7', '±5.1', '±4.0', '±5.2', '±8861', '±20580', '', '(X)', '(X)', '(X)']
10017 Families Estimate,['2901', '2.2%', '0.0%', '0.0%', '5.4%', '1.8%', '7.0%', '4.5%', '6.3%', '17.2%', '55.6%', '226632', '305241', '', '(X)', '20.3%', '(X)']
10017 Families Margin of Error,['±541', '±2.7', '±1.3', '±1.3', '±5.9', '±1.8', '±6.6', '±4.3', '±4.3', '±9.1', '±10.4', '±62441', '±53997', '', '(X)', '(X)', '(X)']
10017 Married-couple families Estimate,['2422', '2.7%', '0.0%', '0.0%', '0.0%', '1.4%', '3.1%', '5.4%', '6.9%', '16.7%', '63.9%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10017 Married-couple families Margin of Error,['±498', '±3.2', '±1.5', '±1.5', '±1.5', '±1.7', '±4.9', '±5.1', '±4.9', '±10.5', '±11.8', '***', 'N', '', '(X)', '(X)', '(X)']
10017 Nonfamily households Estimate,['6570', '5.8%', '1.9%', '2.7%', '10.4%', '3.0%', '11.4%', '10.1%', '22.3%', '12.3%', '20.1%', '112676', '146587', '', '(X)', '(X)', '24.1%']
10017 Nonfamily households Margin of Error,['±792', '±3.4', '±2.1', '±2.3', '±6.1', '±1.9', '±3.9', '±3.5', '±6.5', '±3.9', '±4.6', '±15548', '±14556', '', '(X)', '(X)', '(X)']
10018 Households Estimate,['4535', '5.8%', '3.6%', '5.7%', '2.9%', '8.0%', '4.9%', '10.2%', '14.1%', '11.5%', '33.2%', '130457', '188857', '', '25.8%', '(X)', '(X)']
10018 Households Margin of Error,['±348', '±2.6', '±2.5', '±3.0', '±1.7', '±4.6', '±2.3', '±3.6', '±4.0', '±3.8', '±4.8', '±24262', '±20916', '', '(X)', '(X)', '(X)']
10018 Families Estimate,['1455', '3.4%', '0.6%', '3.4%', '3.1%', '2.1%', '5.7%', '9.1%', '11.2%', '9.3%', '52.2%', '210293', '248528', '', '(X)', '31.1%', '(X)']
10018 Families Margin of Error,['±312', '±4.0', '±1.1', '±3.0', '±3.4', '±1.8', '±4.8', '±5.3', '±7.0', '±5.1', '±9.6', '±32651', '±49270', '', '(X)', '(X)', '(X)']
10018 Married-couple families Estimate,['1224', '0.0%', '0.7%', '3.2%', '3.7%', '2.3%', '4.2%', '1.2%', '12.9%', '11.0%', '60.8%', '234688', 'N', '', '(X)', '(X)', '(X)']
10018 Married-couple families Margin of Error,['±302', '±3.0', '±1.3', '±3.4', '±4.0', '±2.0', '±5.2', '±1.8', '±8.1', '±6.2', '±11.7', '±38932', 'N', '', '(X)', '(X)', '(X)']
10018 Nonfamily households Estimate,['3080', '7.0%', '5.1%', '6.9%', '2.9%', '10.8%', '4.4%', '10.7%', '15.6%', '12.5%', '24.1%', '108627', '159836', '', '(X)', '(X)', '23.1%']
10018 Nonfamily households Margin of Error,['±366', '±3.3', '±3.6', '±4.2', '±1.9', '±6.5', '±3.0', '±4.6', '±4.5', '±5.0', '±5.3', '±28400', '±21535', '', '(X)', '(X)', '(X)']
10019 Households Estimate,['26403', '7.3%', '4.5%', '9.8%', '4.6%', '8.1%', '6.4%', '8.2%', '13.5%', '9.0%', '28.6%', '105538', '179458', '', '29.7%', '(X)', '(X)']
10019 Households Margin of Error,['±1441', '±2.0', '±1.9', '±3.0', '±1.7', '±2.8', '±1.4', '±2.0', '±2.8', '±2.0', '±3.1', '±13099', '±16485', '', '(X)', '(X)', '(X)']
